UID          PID    PPID  C STIME TTY          TIME CMD
root         151       2  0 14:46 ?        00:00:00 [mld]
root         152       2  0 14:46 ?        00:00:00 [kworker/3:1H-kblockd]
root         153       2  0 14:46 ?        00:00:00 [ipv6_addrconf]
root         165       2  0 14:46 ?        00:00:00 [kstrp]
root         168       2  0 14:46 ?        00:00:00 [zswap-shrink]
root         170       2  0 14:46 ?        00:00:00 [kworker/u257:0]
root         175       2  0 14:46 ?        00:00:00 [charger_manager]
root         223       2  0 14:46 ?        00:00:00 [kworker/0:1H-kblockd]
root         225       2  0 14:46 ?        00:00:00 [mpt_poll_0]
root         226       2  0 14:46 ?        00:00:00 [mpt/0]
root         227       2  0 14:46 ?        00:00:00 [scsi_eh_2]
root         228       2  0 14:46 ?        00:00:00 [scsi_tmf_2]
root         229       2  0 14:46 ?        00:00:00 [scsi_eh_3]
root         230       2  0 14:46 ?        00:00:00 [scsi_tmf_3]
root         231       2  0 14:46 ?        00:00:00 [scsi_eh_4]
root         232       2  0 14:46 ?        00:00:00 [scsi_tmf_4]
root         233       2  0 14:46 ?        00:00:00 [scsi_eh_5]
root         234       2  0 14:46 ?        00:00:00 [scsi_tmf_5]
root         235       2  0 14:46 ?        00:00:00 [scsi_eh_6]
root         236       2  0 14:46 ?        00:00:00 [scsi_tmf_6]
root         237       2  0 14:46 ?        00:00:00 [scsi_eh_7]
root         238       2  0 14:46 ?        00:00:00 [scsi_tmf_7]
root         239       2  0 14:46 ?        00:00:00 [scsi_eh_8]
root         240       2  0 14:46 ?        00:00:00 [scsi_tmf_8]
root         241       2  0 14:46 ?        00:00:00 [scsi_eh_9]
root         242       2  0 14:46 ?        00:00:00 [scsi_tmf_9]
root         243       2  0 14:46 ?        00:00:00 [scsi_eh_10]
root         244       2  0 14:46 ?        00:00:00 [scsi_tmf_10]
root         245       2  0 14:46 ?        00:00:00 [scsi_eh_11]
root         246       2  0 14:46 ?        00:00:00 [scsi_tmf_11]
root         247       2  0 14:46 ?        00:00:00 [scsi_eh_12]
root         248       2  0 14:46 ?        00:00:00 [scsi_tmf_12]
root         249       2  0 14:46 ?        00:00:00 [scsi_eh_13]
root         250       2  0 14:46 ?        00:00:00 [scsi_tmf_13]
root         251       2  0 14:46 ?        00:00:00 [scsi_eh_14]
root         252       2  0 14:46 ?        00:00:00 [scsi_tmf_14]
root         253       2  0 14:46 ?        00:00:00 [scsi_eh_15]
root         254       2  0 14:46 ?        00:00:00 [scsi_tmf_15]
root         255       2  0 14:46 ?        00:00:00 [scsi_eh_16]
root         256       2  0 14:46 ?        00:00:00 [scsi_tmf_16]
root         257       2  0 14:46 ?        00:00:00 [scsi_eh_17]
root         258       2  0 14:46 ?        00:00:00 [scsi_tmf_17]
root         259       2  0 14:46 ?        00:00:00 [scsi_eh_18]
root         260       2  0 14:46 ?        00:00:00 [scsi_tmf_18]
root         261       2  0 14:46 ?        00:00:00 [scsi_eh_19]
root         262       2  0 14:46 ?        00:00:00 [scsi_tmf_19]
root         263       2  0 14:46 ?        00:00:00 [scsi_eh_20]
root         264       2  0 14:46 ?        00:00:00 [scsi_tmf_20]
root         265       2  0 14:46 ?        00:00:00 [scsi_eh_21]
root         266       2  0 14:46 ?        00:00:00 [scsi_tmf_21]
root         267       2  0 14:46 ?        00:00:00 [scsi_eh_22]
root         268       2  0 14:46 ?        00:00:00 [scsi_tmf_22]
root         269       2  0 14:46 ?        00:00:00 [scsi_eh_23]
root         270       2  0 14:46 ?        00:00:00 [scsi_tmf_23]
root         271       2  0 14:46 ?        00:00:00 [scsi_eh_24]
root         272       2  0 14:46 ?        00:00:00 [scsi_tmf_24]
root         273       2  0 14:46 ?        00:00:00 [scsi_eh_25]
root         274       2  0 14:46 ?        00:00:00 [scsi_tmf_25]
root         275       2  0 14:46 ?        00:00:00 [scsi_eh_26]
root         276       2  0 14:46 ?        00:00:00 [scsi_tmf_26]
root         277       2  0 14:46 ?        00:00:00 [scsi_eh_27]
root         278       2  0 14:46 ?        00:00:00 [scsi_tmf_27]
root         279       2  0 14:46 ?        00:00:00 [scsi_eh_28]
root         280       2  0 14:46 ?        00:00:00 [scsi_tmf_28]
root         281       2  0 14:46 ?        00:00:00 [scsi_eh_29]
root         282       2  0 14:46 ?        00:00:00 [scsi_tmf_29]
root         283       2  0 14:46 ?        00:00:00 [scsi_eh_30]
root         284       2  0 14:46 ?        00:00:00 [scsi_tmf_30]
root         285       2  0 14:46 ?        00:00:00 [scsi_eh_31]
root         286       2  0 14:46 ?        00:00:00 [scsi_tmf_31]
root         301       2  0 14:46 ?        00:00:00 [kworker/u256:20-events_unbound]
root         313       2  0 14:46 ?        00:00:00 [scsi_eh_32]
root         314       2  0 14:46 ?        00:00:00 [scsi_tmf_32]
root         315       2  0 14:46 ?        00:00:00 [kworker/1:1H-kblockd]
root         337       2  0 14:46 ?        00:00:00 [jbd2/sda5-8]
root         338       2  0 14:46 ?        00:00:00 [ext4-rsv-conver]
root         375       1  0 14:46 ?        00:00:01 /lib/systemd/systemd-journald
root         401       1  0 14:46 ?        00:00:00 /lib/systemd/systemd-udevd
root         407       2  0 14:46 ?        00:00:00 [ttm_swap]
root         408       2  0 14:46 ?        00:00:01 [irq/16-vmwgfx]
root         410       2  0 14:46 ?        00:00:00 [card0-crtc0]
root         411       2  0 14:46 ?        00:00:00 [card0-crtc1]
root         412       2  0 14:46 ?        00:00:00 [card0-crtc2]
root         413       2  0 14:46 ?        00:00:00 [card0-crtc3]
root         414       2  0 14:46 ?        00:00:00 [card0-crtc4]
root         415       2  0 14:46 ?        00:00:00 [card0-crtc5]
root         416       2  0 14:46 ?        00:00:00 [card0-crtc6]
root         417       2  0 14:46 ?        00:00:00 [card0-crtc7]
root         419       2  0 14:46 ?        00:00:00 [kworker/1:3-events]
root         432       1  0 14:46 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root         468       2  0 14:46 ?        00:00:01 [kworker/0:11-events]
root         508       2  0 14:46 ?        00:00:00 [kworker/2:3-events]
root         666       2  0 14:46 ?        00:00:00 [cryptd]
systemd+     756       1  0 14:46 ?        00:00:02 /lib/systemd/systemd-resolved
systemd+     757       1  0 14:46 ?        00:00:00 /lib/systemd/systemd-timesyncd
root         825       1  0 14:46 ?        00:00:00 /usr/lib/accountsservice/accounts-daemon
root         826       1  0 14:46 ?        00:00:00 /usr/sbin/acpid
avahi        829       1  0 14:46 ?        00:00:00 avahi-daemon: running [dragong-virtual-machine.local]
root         831       1  0 14:46 ?        00:00:00 /usr/sbin/cron -f
root         833       1  0 14:46 ?        00:00:00 /usr/sbin/cupsd -l
message+     835       1  0 14:46 ?        00:00:00 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         836       1  0 14:46 ?        00:00:02 /usr/sbin/NetworkManager --no-daemon
root         846       1  0 14:46 ?        00:00:00 /usr/sbin/irqbalance --foreground
